Name,CAS Number,SMILES,Formula,Category,Classification 1
aliskiren,173334-57-1,COCCCOC1=C(OC)C=CC(C[C@@H](C[C@H](N)[C@@H](O)C[C@@H](C(C)C)C(=O)NCC(C)(C)C(N)=O)C(C)C)=C1,C30H53N3O6,D,Cardiovascular System
allopurinol,315-30-0,OC1=NC=NC2=C1C=NN2,C5H4N4O,B2,Musculoskeletal System
alpelisib,1217486-61-7,CC1=C(SC(NC(=O)N2CCC[C@H]2C(N)=O)=N1)C1=CC(=NC=C1)C(C)(C)C(F)(F)F,C19H22F3N5O2S,D,Antineoplastic Agents
alprazolam,28981-97-7,CC1=NN=C2CN=C(C3=CC=CC=C3)C3=C(C=CC(Cl)=C3)N12,C17H13ClN4,C,Central Nervous System
alprenolol,13655-52-2,CC(C)NCC(O)COC1=CC=CC=C1CC=C,C15H23NO2,C,Cardiovascular System
amantadine,768-94-5,NC12CC3CC(CC(C3)C1)C2,C10H17N,B3,Central Nervous System
ambrisentan,177036-94-1,COC([C@H](OC1=NC(C)=CC(C)=N1)C(O)=O)(C1=CC=CC=C1)C1=CC=CC=C1,C22H22N2O4,X,Cardiovascular System
amifampridine,54-96-6,NC1=CC=NC=C1N,C5H7N3,C,Central Nervous System
amifostine,20537-88-6,NCCCNCCSP(O)(O)=O,C5H15N2O3PS,B3,Antineoplastic Agents
amikacin,37517-28-5,NCC[C@H](O)C(=O)N[C@@H]1C[C@H](N)[C@@H](O[C@H]2O[C@H](CN)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](N)[C@H]1O,C22H43N5O13,D,Antimicrobials
amiloride,2609-46-3,NC(=N)NC(=O)C1=NC(Cl)=C(N)N=C1N,C6H8ClN7O,C,Cardiovascular System
aminocaproic acid,60-32-2,NCCCCCC(O)=O,C6H13NO2,B3,Cardiovascular System
aminoglutethimide,125-84-8,CCC1(CCC(=O)NC1=O)C1=CC=C(N)C=C1,C13H16N2O2,D,Antineoplastic Agents
aminoglutethimide,125-84-8,CCC1(CCC(=O)NC1=O)C1=CC=C(N)C=C1,C13H16N2O2,D,Endocrine System
amiodarone,1951-25-3,CCCCC1=C(C(=O)C2=CC(I)=C(OCCN(CC)CC)C(I)=C2)C2=C(O1)C=CC=C2,C25H29I2NO3,C,Cardiovascular System
amisulpride,71675-85-9,CCN1CCCC1CNC(=O)C1=CC(=C(N)C=C1OC)S(=O)(=O)CC,C17H27N3O4S,C,Central Nervous System
amitriptyline,50-48-6,CN(C)CCC=C1C2=CC=CC=C2CCC2=CC=CC=C12,C20H23N,C,Central Nervous System
amlodipine,88150-42-9,CCOC(=O)C1=C(COCCN)NC(C)=C(C1C1=CC=CC=C1Cl)C(=O)OC,C20H25ClN2O5,C,Cardiovascular System
amobarbital,57-43-2,CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,C11H18N2O3,C,Central Nervous System
amorolfine,78613-35-1,[H]C(C)(CN1C[C@]([H])(C)O[C@]([H])(C)C1)CC1=CC=C(C=C1)C(C)(C)CC,C21H35NO,B3,Drugs used in Dermatology
amoxicillin,26787-78-0,[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)[C@H](N)C1=CC=C(O)C=C1)C(O)=O,C16H19N3O5S,A,Antimicrobials
ampicillin,69-53-4,[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)[C@H](N)C1=CC=CC=C1)C(O)=O,C16H19N3O4S,A,Antimicrobials
amprenavir,161814-49-9,CC(C)CN(C[C@@H](O)[C@H](CC1=CC=CC=C1)NC(=O)O[C@H]1CCOC1)S(=O)(=O)C1=CC=C(N)C=C1,C25H35N3O6S,B3,Antimicrobials
amsacrine,51264-14-3,COC1=C(NC2=C3C=CC=CC3=NC3=CC=CC=C23)C=CC(NS(C)(=O)=O)=C1,C21H19N3O3S,D,Antineoplastic Agents
anagrelide,68475-42-3,ClC1=CC=C2N=C3NC(=O)CN3CC2=C1Cl,C10H7Cl2N3O,B3,Antineoplastic Agents
anastrozole,120511-73-1,CC(C)(C#N)C1=CC(=CC(CN2C=NC=N2)=C1)C(C)(C)C#N,C17H19N5,C,Antineoplastic Agents
anecortave,10184-70-0,C[C@]12CC=C3[C@@H](CCC4=CC(=O)CC[C@]34C)[C@@H]1CC[C@]2(O)C(=O)CO,C21H28O4,B1,Ophthalmic Drugs
anidulafungin,166663-25-8,[H][C@]1(NC(=O)[C@@H](NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC(=O)[C@H](C[C@@H](O)[C@@H](O)NC(=O)[C@@H]2[C@@H](O)[C@@H](C)CN2C1=O)NC(=O)C1=CC=C(C=C1)C1=CC=C(C=C1)C1=CC=C(OCCCCC)C=C1)[C@@H](C)O)[C@H](O)[C@@H](O)C1=CC=C(O)C=C1)[C@@H](C)O,C58H73N7O17,B3,Antimicrobials
apalutamide,956104-40-8,CNC(=O)C1=CC=C(C=C1F)N1C(=S)N(C(=O)C11CCC1)C1=CC(=C(N=C1)C#N)C(F)(F)F,C21H15F4N5O2S,D,Antineoplastic Agents
apixaban,503612-47-3,COC1=CC=C(C=C1)N1N=C(C(N)=O)C2=C1C(=O)N(CC2)C1=CC=C(C=C1)N1CCCCC1=O,C25H25N5O4,C,Cardiovascular System
apomorphine,58-00-4,[H][C@]12CC3=C(C(O)=C(O)C=C3)C3=CC=CC(CCN1C)=C23,C17H17NO2,B3,Central Nervous System
apraclonidine,66711-21-5,NC1=CC(Cl)=C(NC2=NCCN2)C(Cl)=C1,C9H10Cl2N4,B3,Ophthalmic Drugs
apremilast,608141-41-9,CCOC1=CC(=CC=C1OC)[C@@H](CS(C)(=O)=O)N1C(=O)C2=CC=CC(NC(C)=O)=C2C1=O,C22H24N2O7S,B3,Allergy and Immune System
aprepitant,170729-80-3,C[C@@H](O[C@H]1OCCN(CC2=NNC(=O)N2)[C@H]1C1=CC=C(F)C=C1)C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F,C23H21F7N4O3,B1,Antineoplastic Agents
aripiprazole,129722-12-9,ClC1=CC=CC(N2CCN(CCCCOC3=CC4=C(CCC(=O)N4)C=C3)CC2)=C1Cl,C23H27Cl2N3O2,C,Central Nervous System
armodafinil,112111-43-0,NC(=O)C[S@@](=O)C(C1=CC=CC=C1)C1=CC=CC=C1,C15H15NO2S,D,Central Nervous System
articaine,23964-58-1,CCCNC(C)C(=O)NC1=C(SC=C1C)C(=O)OC,C13H20N2O3S,B3,Drugs Used in Anaesthesia
asenapine,65576-45-6,CN1CC2C(C1)C1=C(OC3=CC=C(Cl)C=C23)C=CC=C1,C17H16ClNO,C,Central Nervous System
asunaprevir,630420-16-5,COC1=CN=C(O[C@@H]2C[C@H](N(C2)C(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)(C)C)C(=O)N[C@@]2(C[C@H]2C=C)C(=O)NS(=O)(=O)C2CC2)C2=C1C=CC(Cl)=C2,C35H46ClN5O9S,B1,Antimicrobials
atazanavir,198904-31-3,COC(=O)N[C@H](C(=O)N[C@@H](CC1=CC=CC=C1)[C@@H](O)CN(CC1=CC=C(C=C1)C1=CC=CC=N1)NC(=O)[C@@H](NC(=O)OC)C(C)(C)C)C(C)(C)C,C38H52N6O7,B2,Antimicrobials
atenolol,29122-68-7,CC(C)NCC(O)COC1=CC=C(CC(N)=O)C=C1,C14H22N2O3,C,Cardiovascular System
atomoxetine,83015-26-3,CNCC[C@@H](OC1=CC=CC=C1C)C1=CC=CC=C1,C17H21NO,B3,Central Nervous System
atorvastatin,134523-00-5,CC(C)C1=C(C(=O)NC2=CC=CC=C2)C(=C(N1CC[C@@H](O)C[C@@H](O)CC(O)=O)C1=CC=C(F)C=C1)C1=CC=CC=C1,C33H35FN2O5,D,Cardiovascular System
atovaquone,95233-18-4,OC1=C([C@H]2CC[C@@H](CC2)C2=CC=C(Cl)C=C2)C(=O)C2=CC=CC=C2C1=O,C22H19ClO3,B2,Antimicrobials
atracurium,64228-79-1,nan,,C,Drugs Used in Anaesthesia
atropine,51-55-8,CN1[C@H]2CC[C@@H]1C[C@@H](C2)OC(=O)C(CO)C1=CC=CC=C1,C17H23NO3,A,Alimentary System
atropine,51-55-8,CN1[C@H]2CC[C@@H]1C[C@@H](C2)OC(=O)C(CO)C1=CC=CC=C1,C17H23NO3,A,Cholinergic and Anticholinergic Agents
auranofin,34031-32-8,CCP(CC)(CC)=[Au]S[C@@H]1O[C@H](COC(C)=O)[C@@H](OC(C)=O)[C@H](OC(C)=O)[C@H]1OC(C)=O,C20H34AuO9PS,B3,Musculoskeletal System
aurothioglucose,12192-57-3,OC[C@H]1O[C@H](S[Au])[C@H](O)[C@@H](O)[C@@H]1O,C6H11AuO5S,B2,Musculoskeletal System
avacopan,1346623-17-3,CC1=CC=C(NC(=O)[C@H]2CCCN([C@H]2C2=CC=C(NC3CCCC3)C=C2)C(=O)C2=C(F)C=CC=C2C)C=C1C(F)(F)F,C33H35F4N3O2,D,Allergy and Immune System
axitinib,319460-85-0,CNC(=O)C1=C(SC2=CC=C3C(NN=C3\C=C\C3=CC=CC=N3)=C2)C=CC=C1,C22H18N4OS,D,Antineoplastic Agents
azacitidine,320-67-2,NC1=NC(=O)N(C=N1)[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,C8H12N4O5,X,Antineoplastic Agents
azatadine,3964-81-6,CN1CCC(CC1)=C1C2=CC=CC=C2CCC2=C1N=CC=C2,C20H22N2,B2,Allergy and Immune System
azathioprine,446-86-6,CN1C=NC(=C1SC1=NC=NC2=C1NC=N2)[N+]([O-])=O,C9H7N7O2S,D,Allergy and Immune System
azelaic acid,123-99-9,OC(=O)CCCCCCCC(O)=O,C9H16O4,B1,Drugs used in Dermatology
azelastine,58581-89-8,CN1CCCC(CC1)N1N=C(CC2=CC=C(Cl)C=C2)C2=CC=CC=C2C1=O,C22H24ClN3O,B3,Allergy and Immune System
azithromycin,83905-01-5,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O,C38H72N2O12,B1,Antimicrobials
azlocillin,37091-66-0,[H][C@](NC(=O)N1CCNC1=O)(C(=O)N[C@@H]1C(=O)N2[C@@H](C(O)=O)C(C)(C)S[C@]12[H])C1=CC=CC=C1,C20H23N5O6S,B3,Antimicrobials
aztreonam,78110-38-0,C[C@H]1[C@H](NC(=O)C(=N/OC(C)(C)C(=O)O)\C2=CSC([NH3+])=N2)C(=O)N1S([O-])(=O)=O,C13H17N5O8S2,B1,Antimicrobials
baclofen,1134-47-0,NCC(CC(O)=O)C1=CC=C(Cl)C=C1,C10H12ClNO2,B3,Musculoskeletal System
baloxavir,1985605-59-1,[H][C@@]12COCCN1C(=O)C1=C(O)C(=O)C=CN1N2[C@@H]1C2=C(SCC3=C1C=CC(F)=C3F)C=CC=C2,C24H19F2N3O4S,B3,Antimicrobials
balsalazide,80573-04-2,OC(=O)CCNC(=O)C1=CC=C(C=C1)\N=N\C1=CC=C(O)C(=C1)C(O)=O,C17H15N3O6,C,Alimentary System
baricitinib,1187594-09-7,CCS(=O)(=O)N1CC(CC#N)(C1)N1C=C(C=N1)C1=C2C=CNC2=NC=N1,C16H17N7O2S,D,Musculoskeletal System
belzutifan,1672668-24-4,CS(=O)(=O)C1=CC=C(OC2=CC(=CC(F)=C2)C#N)C2=C1[C@H](O)[C@H](F)[C@@H]2F,C17H12F3NO4S,D,Antineoplastic Agents
benserazide,322-35-0,NC(CO)C(=O)NNCC1=C(O)C(O)=C(O)C=C1,C10H15N3O5,B3,Central Nervous System
benzatropine,86-13-5,[H][C@]12CC[C@]([H])(C[C@@]([H])(C1)OC(C1=CC=CC=C1)C1=CC=CC=C1)N2C,C21H25NO,B2,Central Nervous System
benzyl benzoate,120-51-4,O=C(OCC1=CC=CC=C1)C1=CC=CC=C1,C14H12O2,B2,Drugs used in Dermatology
benzylpenicillin,61-33-6,[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)CC1=CC=CC=C1)C(O)=O,C16H18N2O4S,A,Antimicrobials
betahistine,5638-76-6,CNCCC1=CC=CC=N1,C8H12N2,B2,Cardiovascular System
betaxolol,63659-18-7,CC(C)NCC(O)COC1=CC=C(CCOCC2CC2)C=C1,C18H29NO3,C,Cardiovascular System
bethanechol,674-38-4,CC(C[N+](C)(C)C)OC(N)=O,C7H17N2O2,B2,Cholinergic and Anticholinergic Agents
bethanechol,674-38-4,CC(C[N+](C)(C)C)OC(N)=O,C7H17N2O2,B2,Genitourinary System
bevantolol,59170-23-9,COC1=C(OC)C=C(CCNCC(O)COC2=CC=CC(C)=C2)C=C1,C20H27NO4,C,Cardiovascular System
bicalutamide,90357-06-5,CC(O)(CS(=O)(=O)C1=CC=C(F)C=C1)C(=O)NC1=CC(=C(C=C1)C#N)C(F)(F)F,C18H14F4N2O4S,D,Antineoplastic Agents
bifonazole,60628-96-8,C1=CN(C=N1)C(C1=CC=CC=C1)C1=CC=C(C=C1)C1=CC=CC=C1,C22H18N2,B3,Drugs used in Dermatology
bilastine,202189-78-4,CCOCCN1C(=NC2=CC=CC=C12)C1CCN(CCC2=CC=C(C=C2)C(C)(C)C(O)=O)CC1,C28H37N3O3,B3,Allergy and Immune System
bimatoprost,155206-00-1,CCNC(=O)CCC\C=C/C[C@H]1[C@@H](O)C[C@@H](O)[C@@H]1\C=C\[C@@H](O)CCC1=CC=CC=C1,C25H37NO4,B3,Ophthalmic Drugs
binimetinib,606143-89-9,CN1C=NC2=C(F)C(NC3=CC=C(Br)C=C3F)=C(C=C12)C(=O)NOCCO,C17H15BrF2N4O3,D,Antineoplastic Agents
bioallethrin,584-79-2,CC(C)=CC1C(C(=O)OC2CC(=O)C(CC=C)=C2C)C1(C)C,C19H26O3,B2,Drugs used in Dermatology
biperiden,514-65-8,OC(CCN1CCCCC1)(C1CC2CC1C=C2)C1=CC=CC=C1,C21H29NO,B2,Central Nervous System
bisacodyl,603-50-9,CC(=O)OC1=CC=C(C=C1)C(C1=CC=C(OC(C)=O)C=C1)C1=CC=CC=N1,C22H19NO4,A,Alimentary System
bisoprolol,66722-44-9,CC(C)NCC(O)COC1=CC=C(COCCOC(C)C)C=C1,C18H31NO4,C,Cardiovascular System
bivalirudin,128270-60-0,CC[C@H](C)[C@H](NC(=O)[C@H](CCC(O)=O)NC(=O)[C@H](CCC(O)=O)NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)[C@H](CC(O)=O)NC(=O)CNC(=O)[C@H](CC(N)=O)NC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCNC(N)=N)NC(=O)[C@@H]1CCCN1C(=O)[C@H](N)CC1=CC=CC=C1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](CC1=CC=C(O)C=C1)C(=O)N[C@@H](CC(C)C)C(O)=O,C98H138N24O33,C,Cardiovascular System
bleomycin,11056-06-7,[H][C@](C)(NC(=O)[C@@]([H])(NC(=O)C1=NC(=NC(N)=C1C)[C@H](CC(N)=O)NC[C@H](N)C(N)=O)[C@@]([H])(OC1OC(CO)C(O)C(O)C1OC1OC(CO)C(O)C(OC(N)=O)C1O)C1=CNC=N1)[C@@H](O)[C@H](C)C(=O)N[C@]([H])(C(=O)NCCC1=NC(=CS1)C1=NC(=CS1)C(=O)NCCC[S+](C)C)[C@@]([H])(C)O,C55H84N17O21S3,D,Antineoplastic Agents
boceprevir,394730-60-0,[H][C@]12CN([C@H](C(=O)NC(CC3CCC3)C(=O)C(N)=O)[C@@]1([H])C2(C)C)C(=O)[C@@H](NC(=O)NC(C)(C)C)C(C)(C)C,C27H45N5O5,B2,Antimicrobials
bortezomib,179324-69-7,CC(C)C[C@H](NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)C1=CN=CC=N1)B(O)O,C19H25BN4O4,C,Antineoplastic Agents
bosentan,147536-97-8,COC1=CC=CC=C1OC1=C(NS(=O)(=O)C2=CC=C(C=C2)C(C)(C)C)N=C(N=C1OCCO)C1=NC=CC=N1,C27H29N5O6S,X,Cardiovascular System
brexpiprazole,913611-97-9,O=C1NC2=CC(OCCCCN3CCN(CC3)C3=C4C=CSC4=CC=C3)=CC=C2C=C1,C25H27N3O2S,C,Central Nervous System
brigatinib,1197953-54-0,COC1=CC(=CC=C1NC1=NC=C(Cl)C(NC2=CC=CC=C2P(C)(C)=O)=N1)N1CCC(CC1)N1CCN(C)CC1,C29H39ClN7O2P,D,Antineoplastic Agents
brinzolamide,138890-62-7,CCN[C@H]1CN(CCCOC)S(=O)(=O)C2=C1C=C(S2)S(N)(=O)=O,C12H21N3O5S3,B3,Ophthalmic Drugs
brivaracetam,357336-20-0,CCC[C@H]1CN([C@@H](CC)C(N)=O)C(=O)C1,C11H20N2O2,B3,Central Nervous System
bromazepam,1812-30-2,BrC1=CC2=C(NC(=O)CN=C2C2=CC=CC=N2)C=C1,C14H10BrN3O,C,Central Nervous System
bromhexine,3572-43-8,CN(CC1=CC(Br)=CC(Br)=C1N)C1CCCCC1,C14H20Br2N2,A,Respiratory System
brompheniramine,86-22-6,CN(C)CCC(C1=CC=C(Br)C=C1)C1=CC=CC=N1,C16H19BrN2,A,Allergy and Immune System
budesonide,51333-22-3,[H][C@@]12C[C@H]3OC(CCC)O[C@@]3(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)C=C[C@]12C,C25H34O6,A,Endocrine System
budesonide,51333-22-3,[H][C@@]12C[C@H]3OC(CCC)O[C@@]3(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)C=C[C@]12C,C25H34O6,A,Respiratory System
bumetanide,28395-03-1,CCCCNC1=C(OC2=CC=CC=C2)C(=CC(=C1)C(O)=O)S(N)(=O)=O,C17H20N2O5S,C,Cardiovascular System
bupivacaine,38396-39-3,CCCCN1CCCCC1C(=O)NC1=C(C)C=CC=C1C,C18H28N2O,A,Drugs Used in Anaesthesia
buprenorphine,52485-79-7,CO[C@]12CC[C@@]3(C[C@@H]1[C@](C)(O)C(C)(C)C)[C@H]1CC4=C5C(O[C@@H]2[C@@]35CCN1CC1CC1)=C(O)C=C4,C29H41NO4,C,Central Nervous System
bupropion,34911-55-2,CC(NC(C)(C)C)C(=O)C1=CC(Cl)=CC=C1,C13H18ClNO,B2,Agents used in dependency states
buspirone,36505-84-7,O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(CC1)C1=NC=CC=N1,C21H31N5O2,B1,Central Nervous System
busulfan,55-98-1,CS(=O)(=O)OCCCCOS(C)(=O)=O,C6H14O6S2,D,Antineoplastic Agents
butoconazole,64872-76-0,ClC1=CC=C(CCC(CN2C=CN=C2)SC2=C(Cl)C=CC=C2Cl)C=C1,C19H17Cl3N2S,B3,Antimicrobials
cabazitaxel,183133-96-2,[H][C@]12[C@H](OC(=O)C3=CC=CC=C3)[C@]3(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)C4=CC=CC=C4)C(C)=C([C@@H](OC)C(=O)[C@]1(C)[C@H](C[C@H]1OC[C@@]21OC(C)=O)OC)C3(C)C,C45H57NO14,D,Antineoplastic Agents
cabergoline,81409-90-7,[H][C@@]12CC3=CNC4=CC=CC(=C34)[C@@]1([H])C[C@H](CN2CC=C)C(=O)N(CCCN(C)C)C(=O)NCC,C26H37N5O2,B1,Endocrine System
cabotegravir,1051375-10-0,[H][C@@]12CN3C=C(C(=O)NCC4=C(F)C=C(F)C=C4)C(=O)C(O)=C3C(=O)N1[C@@H](C)CO2,C19H17F2N3O5,B1,Antimicrobials
cabozantinib,849217-68-1,COC1=CC2=C(C=C1OC)C(OC1=CC=C(NC(=O)C3(CC3)C(=O)NC3=CC=C(F)C=C3)C=C1)=CC=N2,C28H24FN3O5,D,Antineoplastic Agents
caffeine,58-08-2,CN1C=NC2=C1C(=O)N(C)C(=O)N2C,C8H10N4O2,A,Central Nervous System
calcipotriol,112965-21-6,O[C@H](\C=C\[C@@H](C)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)C[C@H](O)C1=C)C1CC1,C27H40O3,B1,Drugs used in Dermatology
calcitriol,32222-06-3,C[C@H](CCCC(C)(C)O)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)C[C@H](O)C1=C,C27H44O3,B3,Endocrine System
canagliflozin,842133-18-0,[H][C@]1(O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)C1=CC=C(C)C(CC2=CC=C(S2)C2=CC=C(F)C=C2)=C1,C24H25FO5S,C,Endocrine System
candesartan cilexetil,145040-37-5,CCOC1=NC2=C(N1CC1=CC=C(C=C1)C1=CC=CC=C1C1=NN=NN1)C(=CC=C2)C(=O)OC(C)OC(=O)OC1CCCCC1,C33H34N6O6,D,Cardiovascular System
capecitabine,154361-50-9,CCCCCOC(=O)NC1=NC(=O)N(C=C1F)[C@@H]1O[C@H](C)[C@@H](O)[C@H]1O,C15H22FN3O6,D,Antineoplastic Agents
captopril,62571-86-2,C[C@H](CS)C(=O)N1CCC[C@H]1C(O)=O,C9H15NO3S,D,Cardiovascular System
carbamazepine,298-46-4,NC(=O)N1C2=CC=CC=C2C=CC2=CC=CC=C12,C15H12N2O,D,Central Nervous System
carbetocin,37025-55-1,[H][C@]1(NC(=O)[C@H](CC2=CC=C(OC)C=C2)NC(=O)CCCSC[C@H](NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CCC(N)=O)NC1=O)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CC(C)C)C(=O)NCC(N)=O)[C@@H](C)CC,C45H69N11O12S,C,Genitourinary System
carbidopa,28860-95-9,C[C@@](CC1=CC(O)=C(O)C=C1)(NN)C(O)=O,C10H14N2O4,B3,Central Nervous System
carbimazole,22232-54-8,CCOC(=O)N1C=CN(C)C1=S,C7H10N2O2S,D,Endocrine System
carboplatin,41575-94-4,[H][N]([H])([H])[Pt]1(OC(=O)C2(CCC2)C(=O)O1)[N]([H])([H])[H],C6H12N2O4Pt,D,Antineoplastic Agents
carfilzomib,868540-17-4,CC(C)C[C@H](NC(=O)[C@H](CCC1=CC=CC=C1)NC(=O)CN1CCOCC1)C(=O)N[C@@H](CC1=CC=CC=C1)C(=O)N[C@@H](CC(C)C)C(=O)[C@@]1(C)CO1,C40H57N5O7,C,Antineoplastic Agents
carglumic acid,1188-38-1,NC(=O)N[C@@H](CCC(O)=O)C(O)=O,C6H10N2O5,B1,Blood and Haemopoietic System
